date,tag,asset,downloads
2026-08-04,v1.0.4,Zedex-1.0.4.apk,2
2026-08-04,v1.0.4,Zedex-1.0.4.apk.sha256,4
2026-08-04,v1.0.3,Zedex-1.0.3.apk,0
2026-08-04,v1.0.3,Zedex-1.0.3.apk.sha256,0
2026-08-04,v1.0.0,Zedex-1.0.0.apk,0
2026-08-04,v1.0.0,Zedex-1.0.0.apk.sha256,0
2026-08-04,v0.13.1,Zedex-0.13.1.apk,0
2026-08-04,v0.13.1,Zedex-0.13.1.apk.sha256,0
2026-08-04,v0.12.1,Zedex-0.12.1.apk,1
2026-08-04,v0.12.1,Zedex-0.12.1.apk.sha256,0
2026-08-04,v0.9.1,Zedex-0.9.1.apk,1
2026-08-04,v0.9.1,Zedex-0.9.1.apk.sha256,0
